8988,191,766.13,60.58
8990,191,766.13,60.58
8995,191,766.13,60.58
8997,191,766.13,60.58
9003,191,766.13,60.58
9004,191,766.13,60.58
9005,191,766.13,60.58
9021,191,766.13,60.58
9033,191,766.13,60.58
9049,191,766.13,60.58
9074,186,767.42,60.64
9075,186,767.42,60.64
9075,186,767.42,60.64
9079,186,767.42,60.64
9405,193,768.71,60.67
9416,193,768.71,60.67
9423,193,768.71,60.67
9428,193,768.71,60.67
9435,193,768.71,60.67
9442,193,768.71,60.67
9449,188,768.95,60.69
9468,193,768.71,60.62
9487,193,768.71,60.62
9492,193,768.82,60.63
9507,188,770.12,60.74
9512,188,770.12,60.74
9522,188,770.12,60.74
9554,188,770.10,60.69
9563,188,769.92,60.68
9578,188,769.92,60.68
9587,188,769.92,60.68
9594,188,769.92,60.68
9608,188,769.92,60.68
9619,188,769.92,60.68
9632,188,769.92,60.68
9641,188,769.92,60.68
9646,188,769.92,60.68
9657,188,770.01,60.64
9675,188,769.89,60.63
9681,193,769.89,60.63
9690,193,769.89,60.63
9695,193,769.89,60.63
9700,193,769.89,60.63
9705,193,770.01,60.64
9713,194,770.00,60.66
9717,189,771.30,60.77
9723,190,771.30,60.77
9730,190,771.30,60.77
9734,190,771.30,60.77
9741,190,771.30,60.77
9744,190,771.30,60.77
9747,190,771.30,60.77
9749,190,771.30,60.77
9752,190,771.26,60.72
9756,190,771.26,60.72
10040,193,772.27,60.75
10040,193,772.27,60.75
10045,199,771.57,60.69
10052,199,771.62,60.65
10064,199,771.62,60.65
10079,195,771.62,60.69
10089,195,771.62,60.69
10093,195,771.62,60.69
10096,195,771.62,60.69
10101,195,772.80,60.79
10108,195,772.91,60.80
10113,195,772.80,60.79
10116,195,772.80,60.79
10119,195,772.80,60.79
10126,195,772.91,60.80
10138,195,772.91,60.80
10141,195,772.91,60.80
10153,195,772.85,60.75
10167,195,772.85,60.75
10182,195,772.85,60.75
10221,195,772.85,60.75
10222,195,772.85,60.75
10229,195,772.85,60.75
10234,195,772.85,60.75
10238,195,772.85,60.75
10240,195,772.85,60.75
10243,201,770.93,60.61
10250,201,770.97,60.57
